x,y
hi,0
how are you,0
is anyone there,0
hello,0
hola,0
good day,0
whats up,0
hey,0
greetings,0
what is a planet,1
what is a computer chip,1
what is the formula of force,1
is the earth round,1
what are metals,1
what is a cell,1
difference between cache and ram,1
are ants an animal,1
what is a reptile,1
cya,2
bye,2
see you soon,2
goodbye,2
have a nice day,2
I am leaving,2
ciao,2
hello,0
why do stars tinkle,1
what is the first atom bomb,1
what is AI,1
see you later,2
LDA, 1
whats up, 0
